"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"LTB",0,2.27040557801391,0.938,0.314,0,"0","LTB"
"TRAC",0,2.10184857161306,0.827,0.135,0,"0","TRAC"
"CD3D",0,1.8792622373999,0.833,0.159,0,"0","CD3D"
"IL7R",0,1.78177167610289,0.568,0.061,0,"0","IL7R"
"JUNB",0,1.7331716574571,0.961,0.674,0,"0","JUNB"
"CD3E",0,1.69271802676414,0.738,0.117,0,"0","CD3E"
"RPS27",0,1.62352853406438,1,0.963,0,"0","RPS27"
"RPS29",0,1.59662369239066,0.999,0.824,0,"0","RPS29"
"CD3G",0,1.58238298712162,0.535,0.062,0,"0","CD3G"
"RPS25",0,1.55556268495184,0.999,0.877,0,"0","RPS25"
"RPL31",0,1.54591506734086,0.998,0.885,0,"0","RPL31"
"RPL30",0,1.48975257664358,0.989,0.645,0,"0","RPL30"
"RPS6",0,1.4571802781723,1,0.958,0,"0","RPS6"
"GAS5",0,1.4441004900954,0.921,0.485,0,"0","GAS5"
"AP001324.1",0,1.43792573581642,0.994,0.747,0,"0","AP001324.1"
"RPL13",0,1.42109006324552,1,0.97,0,"0","RPL13"
"RPS15A",0,1.41061373431959,1,0.92,0,"0","RPS15A"
"SARAF",0,1.40072157456268,0.896,0.47,0,"0","SARAF"
"AC099336.2",0,1.39845868680818,0.935,0.538,0,"0","AC099336.2"
"RPL3P4",0,1.39704249315443,0.999,0.739,0,"0","RPL3P4"
"RPL34",0,1.37805494341574,1,0.944,0,"0","RPL34"
"RPS12",0,1.3756062548965,0.999,0.976,0,"0","RPS12"
"RPL9P9",0,1.3680054043731,0.999,0.722,0,"0","RPL9P9"
"RPL10P16",0,1.36167936985493,0.992,0.655,0,"0","RPL10P16"
"RPL3",0,1.36167807265651,1,0.89,0,"0","RPL3"
"RPL23A",0,1.35243555327862,0.995,0.713,0,"0","RPL23A"
"RPL36",0,1.34732293122974,0.999,0.863,0,"0","RPL36"
"RPLP2",0,1.34592131754457,1,0.957,0,"0","RPLP2"
"AC073621.1",0,1.34305280905683,0.964,0.572,0,"0","AC073621.1"
"RPL10",0,1.32122655981524,1,0.972,0,"0","RPL10"
"RPL38",0,1.31484685887989,0.999,0.793,0,"0","RPL38"
"AC073861.1",0,1.31074775120369,0.997,0.723,0,"0","AC073861.1"
"RPL32",0,1.30787567986934,1,0.975,0,"0","RPL32"
"RPL11",0,1.30388770839065,1,0.958,0,"0","RPL11"
"RPSA",0,1.29422994417059,0.998,0.761,0,"0","RPSA"
"RPL21",0,1.28529269641835,1,0.976,0,"0","RPL21"
"RPS14",0,1.27982149824799,1,0.966,0,"0","RPS14"
"RPS3",0,1.27858433766362,0.999,0.936,0,"0","RPS3"
"RPS27A",0,1.27751277890334,1,0.955,0,"0","RPS27A"
"RPL14",0,1.27214822457135,0.999,0.856,0,"0","RPL14"
"RPS20",0,1.27154968229916,1,0.88,0,"0","RPS20"
"RPS18",0,1.26517845780801,0.999,0.947,0,"0","RPS18"
"RPS28",0,1.26299831615054,0.999,0.866,0,"0","RPS28"
"RPL9",0,1.26278885851024,0.999,0.901,0,"0","RPL9"
"RPL35A",0,1.25578889273673,0.999,0.913,0,"0","RPL35A"
"EEF1A1",0,1.25426297215666,0.995,0.744,0,"0","EEF1A1"
"RPL13A",0,1.24077539518186,1,0.971,0,"0","RPL13A"
"RPL19",0,1.24023211543808,1,0.93,0,"0","RPL19"
"RPL5",0,1.23796692019907,0.996,0.816,0,"0","RPL5"
"RPS16",0,1.22974878571438,0.999,0.883,0,"0","RPS16"
"RPS8",0,1.22955664489245,1,0.873,0,"0","RPS8"
"RPL27A",0,1.22355004545259,1,0.914,0,"0","RPL27A"
"RPS4X",0,1.21670304882597,0.999,0.905,0,"0","RPS4X"
"RPL10A",0,1.19698929486662,0.999,0.865,0,"0","RPL10A"
"RPS3A",0,1.19035465379314,1,0.917,0,"0","RPS3A"
"RPL37",0,1.1877592845582,0.999,0.853,0,"0","RPL37"
"RPL18",0,1.16982898194664,0.997,0.863,0,"0","RPL18"
"RPS19",0,1.15903421981983,1,0.962,0,"0","RPS19"
"RPS13",0,1.15359339594883,1,0.901,0,"0","RPS13"
"TPT1",0,1.13783984012412,1,0.931,0,"0","TPT1"
"RPS5",0,1.13263999888953,0.996,0.864,0,"0","RPS5"
"RPL39",0,1.11755091414931,0.999,0.813,0,"0","RPL39"
"RPL41",0,1.11551747830541,0.997,0.786,0,"0","RPL41"
"RPL28",0,1.08561600664142,1,0.929,0,"0","RPL28"
"RPL12",0,1.06496365551869,0.999,0.909,0,"0","RPL12"
"RPL18A",0,1.06291374711352,1,0.942,0,"0","RPL18A"
"RPS15",0,0.986642307496992,1,0.939,0,"0","RPS15"
"LDHB",2.49949790635957e-305,1.41903358195876,0.842,0.333,5.5388873604928e-301,"0","LDHB"
"RPL34P18",4.82816587938654e-303,1.25697042254071,0.969,0.564,1.06992155887206e-298,"0","RPL34P18"
"RPS26",9.72526298679731e-302,1.13356900623565,0.996,0.754,2.15511827787428e-297,"0","RPS26"
"RPS21",2.27551614778805e-300,1.1264326015113,0.996,0.757,5.04254378349831e-296,"0","RPS21"
"RPL7",1.5222357971095e-298,1.04004835635919,1,0.888,3.37327452639465e-294,"0","RPL7"
"RPS20P14",5.87493176882911e-298,1.27319461400255,0.97,0.537,1.30188487997253e-293,"0","RPS20P14"
"AC008038.1",1.06087970103702e-294,1.21735623526863,0.982,0.632,2.35090941749804e-290,"0","AC008038.1"
"RPL27",3.93180824816107e-293,1.07026985773155,0.997,0.837,8.71288707792492e-289,"0","RPL27"
"RPL6",3.034221362369e-288,1.08763674125404,0.995,0.806,6.72383453900971e-284,"0","RPL6"
"RPL4",1.4801401928655e-287,1.12482044814738,0.988,0.78,3.27999066738995e-283,"0","RPL4"
"RPL10P9",5.34930226301704e-287,1.26133351926755,0.947,0.53,1.18540538148458e-282,"0","RPL10P9"
"RPL24",1.12992856286997e-282,1.05636809264182,0.996,0.802,2.50392169531986e-278,"0","RPL24"
"IL32",2.85936911943386e-278,1.57369762717736,0.626,0.139,6.33636196866543e-274,"0","IL32"
"RPS7",4.17904037253343e-277,1.04010189914893,0.998,0.848,9.26075346553407e-273,"0","RPS7"
"RPS27AP16",8.02579441797222e-276,1.20318305178677,0.954,0.552,1.77851604302264e-271,"0","RPS27AP16"
"RPL7P9",1.19640122903909e-275,1.04664117120541,0.999,0.793,2.65122512355063e-271,"0","RPL7P9"
"TOMM7",4.59569655491174e-273,1.18201087401123,0.96,0.603,1.01840635656844e-268,"0","TOMM7"
"RPL18AP3",4.0371089714951e-272,1.06171866062117,0.996,0.731,8.94623348083314e-268,"0","RPL18AP3"
"AC007969.1",4.02243556981682e-271,1.02369677208167,0.997,0.786,8.91371722271407e-267,"0","AC007969.1"
"TRBC2",3.84313052152726e-266,1.58769955934805,0.597,0.145,8.51637723570441e-262,"0","TRBC2"
"AC012618.1",9.11488283201565e-265,1.07473385546633,0.994,0.666,2.01985803557467e-260,"0","AC012618.1"
"PCED1B-AS1",1.09212468545096e-263,1.36749691706972,0.703,0.223,2.42014830295933e-259,"0","PCED1B-AS1"
"RPL13AP5",1.10690697773826e-263,1.14530985634388,0.97,0.594,2.45290586266799e-259,"0","RPL13AP5"
"RPL22",7.1135874160866e-261,1.05968892421887,0.992,0.724,1.57637097140479e-256,"0","RPL22"
"RPL13AP25",6.99397743029893e-255,1.12497822318352,0.95,0.563,1.54986539855424e-250,"0","RPL13AP25"
"RPL5P34",8.17840020799767e-254,1.19008345365317,0.92,0.46,1.81233348609228e-249,"0","RPL5P34"
"RPL26",8.4306023366619e-254,1.0016372281451,0.999,0.791,1.86822147780428e-249,"0","RPL26"
"AL049873.1",1.93262198719303e-253,1.28853936830619,0.823,0.364,4.28269032361976e-249,"0","AL049873.1"
"RPL29",1.49231203260074e-247,0.956234101262468,0.996,0.875,3.30696346424324e-243,"0","RPL29"
"RPSAP19",3.84908363195076e-246,1.20087311715382,0.891,0.432,8.52956932840288e-242,"0","RPSAP19"
"RPL35",2.34462446094909e-245,0.903130466906511,0.997,0.886,5.19568780546319e-241,"0","RPL35"
"EEF1B2",8.45969864437114e-244,1.10508914431513,0.966,0.656,1.87466921959265e-239,"0","EEF1B2"
"LCK",4.91005675258206e-243,1.24378039180199,0.523,0.105,1.08806857637218e-238,"0","LCK"
"RPS4Y1",6.42907721223607e-243,1.1306668872249,0.922,0.561,1.42468351023151e-238,"0","RPS4Y1"
"RPLP1",1.00474964994378e-242,0.893670872095635,1,0.98,2.22652522427541e-238,"0","RPLP1"
"RPS4XP11",5.23177802595623e-242,1.14310901288069,0.916,0.491,1.1593620105519e-237,"0","RPS4XP11"
"RPL21P16",2.15419517495265e-240,1.14299404952134,0.905,0.549,4.77369650769507e-236,"0","RPL21P16"
"AC116533.1",3.18182501718702e-240,1.08735914902825,0.96,0.602,7.05092423808644e-236,"0","AC116533.1"
"AC024293.1",3.37939242236933e-238,1.14084913376472,0.913,0.513,7.48873360797044e-234,"0","AC024293.1"
"RPL15",6.63587293399876e-238,0.935048713343662,1,0.864,1.47050944217413e-233,"0","RPL15"
"CD69",1.82110555443107e-236,1.05902357451066,0.843,0.377,4.03556990861926e-232,"0","CD69"
"PRKCQ-AS1",1.5948342672673e-233,1.23802493510064,0.362,0.039,3.53415273626433e-229,"0","PRKCQ-AS1"
"RPS9",2.54146124184935e-227,0.88031342429522,0.999,0.898,5.63187811193817e-223,"0","RPS9"
"NPM1",2.80506162875733e-226,1.02236689181158,0.942,0.538,6.21601656932624e-222,"0","NPM1"
"EIF3E",3.16612291193222e-223,1.12213270572978,0.896,0.493,7.0161283728418e-219,"0","EIF3E"
"RPS7P1",1.53811977611416e-220,1.01983448117281,0.978,0.624,3.40847342386898e-216,"0","RPS7P1"
"AP005202.1",8.00094500143734e-220,1.04444460202417,0.945,0.583,1.77300941231851e-215,"0","AP005202.1"
"RACK1",3.75885559711988e-218,0.930689167524856,0.996,0.791,8.32962400321765e-214,"0","RACK1"
"FAU",8.64268283798604e-218,0.836823702338978,0.997,0.881,1.91521851689771e-213,"0","FAU"
"NOP53",1.00082258898287e-216,1.15712187042809,0.804,0.388,2.21782285718605e-212,"0","NOP53"
"AC022431.1",2.00982442851593e-214,0.96301070057618,0.988,0.642,4.45377093359129e-210,"0","AC022431.1"
"RPL7A",1.16794086863628e-213,0.886373807905687,0.996,0.813,2.588156964898e-209,"0","RPL7A"
"RPLP0",1.23227143378612e-213,0.922147370591454,0.991,0.733,2.73071349727004e-209,"0","RPLP0"
"TSC22D3",2.29230160975746e-213,1.07697672177372,0.864,0.448,5.07974036722253e-209,"0","TSC22D3"
"RPS17",5.22435320542858e-213,0.845427610105069,0.999,0.918,1.15771667032297e-208,"0","RPS17"
"AL450405.1",5.54137132173678e-213,0.979727193092074,0.975,0.632,1.22796788489687e-208,"0","AL450405.1"
"HLA-A",7.26576919227432e-212,0.880575521825218,0.97,0.628,1.61009445300799e-207,"0","HLA-A"
"EEF1A1P5",3.32620128395153e-209,1.11180364243923,0.861,0.457,7.3708620452366e-205,"0","EEF1A1P5"
"RPL37A",2.12410315881991e-207,0.85218531829435,0.998,0.852,4.70701259994493e-203,"0","RPL37A"
"AC010343.1",2.30471578803328e-206,1.17355889998092,0.781,0.354,5.10725018628176e-202,"0","AC010343.1"
"TOB1",1.60937597231979e-204,1.30433387637946,0.675,0.264,3.56637715466065e-200,"0","TOB1"
"RPL23",9.96641205732701e-204,0.944592959530157,0.988,0.727,2.20855691190366e-199,"0","RPL23"
"AC079250.1",1.40596634457611e-202,1.00311471237597,0.904,0.513,3.11562141958066e-198,"0","AC079250.1"
"MALAT1",3.30165831997753e-202,0.813423380333322,0.999,0.981,7.31647483707021e-198,"0","MALAT1"
"CXCR4",3.82919073870863e-200,0.87731685589129,0.856,0.435,8.48548667697833e-196,"0","CXCR4"
"AC034236.1",8.83073725570021e-200,1.13582739192458,0.722,0.321,1.95689137586317e-195,"0","AC034236.1"
"AC005840.1",1.59732077385275e-199,1.16468396397148,0.663,0.254,3.5396628348577e-195,"0","AC005840.1"
"RPS7P10",4.11704966429106e-198,0.971674150349832,0.94,0.556,9.12338205606899e-194,"0","RPS7P10"
"TNFAIP3",3.70214250687136e-197,1.15762207966802,0.623,0.209,8.20394779522694e-193,"0","TNFAIP3"
"B2M",7.72682934922592e-196,0.760423465390617,1,0.982,1.71226538378846e-191,"0","B2M"
"CD2",3.61875872131483e-194,1.06499352188556,0.453,0.093,8.01916932643366e-190,"0","CD2"
"HLA-C",8.26153776304264e-194,0.740881905736779,0.99,0.699,1.83075676829025e-189,"0","HLA-C"
"RCAN3",1.25240142598306e-192,1.04665269573493,0.333,0.043,2.77532155997847e-188,"0","RCAN3"
"AL136968.2",1.29910423172287e-192,1.08803922709702,0.731,0.326,2.87881497749788e-188,"0","AL136968.2"
"RPL24P8",6.79806042420065e-192,1.00940049855632,0.887,0.5,1.50645019000286e-187,"0","RPL24P8"
"AC016739.1",1.44168645602891e-190,0.90090807183162,0.977,0.659,3.19477718656007e-186,"0","AC016739.1"
"AC004453.1",8.04287809153365e-189,1.10045554077123,0.745,0.349,1.78230178508386e-184,"0","AC004453.1"
"NOSIP",6.07882138193029e-188,1.36558501037893,0.552,0.194,1.34706681823575e-183,"0","NOSIP"
"ZFP36L2",1.73924911593861e-186,1.21097198607884,0.81,0.454,3.85417604091996e-182,"0","ZFP36L2"
"RPL10P6",7.70546554895867e-186,1.10020334323553,0.753,0.358,1.70753116564924e-181,"0","RPL10P6"
"TMEM123",1.85777737756677e-184,1.10708563311768,0.589,0.203,4.11683466868795e-180,"0","TMEM123"
"FXYD5",9.4247237864089e-184,0.990932641813271,0.826,0.48,2.08851879106821e-179,"0","FXYD5"
"AC245427.1",2.89813499658488e-183,1.43179904598334,0.505,0.141,6.42226715243209e-179,"0","AC245427.1"
"TCF7",7.53131936199387e-183,1.05905573170205,0.49,0.132,1.66894037061784e-178,"0","TCF7"
"CD52",1.51929502648302e-182,0.8763064510181,0.972,0.632,3.36675777868636e-178,"0","CD52"
"CD48",2.57401616912406e-179,1.04108680331863,0.679,0.257,5.70401983077892e-175,"0","CD48"
"MAL",6.08141306738741e-179,1.08119234983558,0.334,0.054,1.34764113573305e-174,"0","MAL"
"AC096919.1",9.53638983076143e-179,0.99578774809219,0.777,0.369,2.11326398649673e-174,"0","AC096919.1"
"EEF2",1.00258146810291e-178,0.858507050869794,0.939,0.617,2.22172053331604e-174,"0","EEF2"
"RPL8",2.04464947756244e-178,0.740151994349631,0.996,0.915,4.53094324227836e-174,"0","RPL8"
"RPS13P2",2.25122206331284e-177,1.00923535492809,0.79,0.405,4.98870809230126e-173,"0","RPS13P2"
"FYB1",2.46170502160234e-177,1.06944153965016,0.571,0.179,5.4551383278708e-173,"0","FYB1"
"LEPROTL1",9.40175420687718e-176,1.11632933466806,0.522,0.167,2.08342873224398e-171,"0","LEPROTL1"
"RPL7AP6",6.01362301512629e-175,0.900958827331796,0.918,0.522,1.33261886015199e-170,"0","RPL7AP6"
"AC008021.1",2.02387046844671e-173,0.82742132213268,0.972,0.688,4.48489695807791e-169,"0","AC008021.1"
"RPS23",3.53814513034972e-173,0.916828030958885,0.876,0.464,7.84052960885497e-169,"0","RPS23"
"JUN",9.61998023712325e-173,0.802494047109983,0.932,0.606,2.13178762054651e-168,"0","JUN"
"SERINC5",3.44900698452787e-169,1.03127008499875,0.341,0.058,7.64299947771377e-165,"0","SERINC5"
"BTG1",6.52554038257084e-168,0.839386200005872,0.904,0.522,1.4460597487777e-163,"0","BTG1"
"AL590867.2",7.16244784899471e-165,0.994448766963936,0.754,0.379,1.58719844333723e-160,"0","AL590867.2"
"BCL11B",8.44619235138733e-165,0.833388232374104,0.264,0.025,1.87167622506743e-160,"0","BCL11B"
"CD27",2.10698836413576e-164,0.909725762764196,0.328,0.052,4.66908621492485e-160,"0","CD27"
"HINT1",3.02419377431481e-164,0.863822463705002,0.913,0.612,6.70161340388162e-160,"0","HINT1"
"AC068724.1",1.17807540686055e-162,0.985445569981508,0.795,0.438,2.61061510160297e-158,"0","AC068724.1"
"RHOH",1.18350596617453e-161,1.01351398154484,0.495,0.146,2.62264922104276e-157,"0","RHOH"
"COMMD6",6.95915795018515e-161,0.8683995098566,0.88,0.537,1.54214940176103e-156,"0","COMMD6"
"PABPC1",9.9756339628369e-161,0.816891199252684,0.946,0.658,2.21060048616466e-156,"0","PABPC1"
"RPSAP58",2.36604497111899e-160,0.976286463640055,0.693,0.304,5.24315565599969e-156,"0","RPSAP58"
"RPL36AL",4.79040693950428e-160,0.857037299423479,0.906,0.652,1.06155417779415e-155,"0","RPL36AL"
"RPS15AP1",2.71080494890603e-159,1.0532770936608,0.637,0.291,6.00714376677576e-155,"0","RPS15AP1"
"EIF1",4.77712843932459e-158,0.652336328862331,0.997,0.954,1.05861166215433e-153,"0","EIF1"
"RPS3AP26",1.34946568379296e-156,0.960890862046053,0.76,0.387,2.9904159552852e-152,"0","RPS3AP26"
"AL139095.2",1.73476708914672e-156,0.982612847982121,0.69,0.311,3.84424386954912e-152,"0","AL139095.2"
"FO393411.1",9.21520180393166e-154,0.886341230457024,0.846,0.451,2.04208871975125e-149,"0","FO393411.1"
"AC005912.1",2.95591508718322e-153,1.04362360937536,0.548,0.207,6.55030783319801e-149,"0","AC005912.1"
"RPL21P28",3.65314855400187e-151,0.92923213428663,0.724,0.378,8.09537719566816e-147,"0","RPL21P28"
"CD7",1.09845012720527e-150,0.62963990603561,0.511,0.148,2.43416548188688e-146,"0","CD7"
"RPL5P17",3.78976301908155e-148,0.975588539363044,0.664,0.294,8.39811485028472e-144,"0","RPL5P17"
"RPL7AP30",1.01818605080391e-147,0.855291732186187,0.825,0.426,2.25630028858146e-143,"0","RPL7AP30"
"AC058791.1",5.19304645086028e-147,1.13613974651187,0.413,0.106,1.15077909351064e-142,"0","AC058791.1"
"NACA",5.24377431058061e-146,0.721109508927555,0.984,0.814,1.16202038722466e-141,"0","NACA"
"C6orf48",3.15108762426053e-145,0.999463883070597,0.662,0.319,6.98281017536132e-141,"0","C6orf48"
"SPOCK2",1.28504076972888e-141,0.855799304609589,0.314,0.057,2.84765034571919e-137,"0","SPOCK2"
"TMSB10",1.08161998695438e-140,0.757729308084104,0.998,0.888,2.39686989109091e-136,"0","TMSB10"
"AC026403.1",2.50013364417118e-139,0.821990636454208,0.812,0.429,5.54029615548333e-135,"0","AC026403.1"
"SNHG6",5.62423972128654e-138,0.876347083584536,0.757,0.394,1.2463315222371e-133,"0","SNHG6"
"CDC42SE2",1.03029199711015e-137,0.975760990558072,0.574,0.233,2.28312706559609e-133,"0","CDC42SE2"
"HLA-E",1.04573167267897e-137,0.697016415695789,0.874,0.492,2.31734138665661e-133,"0","HLA-E"
"RPS3AP25",3.62758325244931e-137,0.917396175543796,0.694,0.342,8.03872448742768e-133,"0","RPS3AP25"
"AC074033.1",4.71411631477185e-137,0.880627834423273,0.762,0.411,1.04464817535344e-132,"0","AC074033.1"
"LRRC75A-AS1",7.78494550931857e-137,0.566666273120786,0.929,0.653,1.725143924865e-132,"0","LRRC75A-AS1"
"COX7C",7.58770072121898e-133,0.717234528090408,0.935,0.667,1.68143447982213e-128,"0","COX7C"
"DNAJB1",3.03365188725183e-132,1.03813487044438,0.484,0.185,6.72257258215006e-128,"0","DNAJB1"
"RPS2",5.16069239897486e-132,0.668027963496928,0.948,0.635,1.14360943561283e-127,"0","RPS2"
"MYL12A",6.45007440457703e-132,0.676328309436614,0.883,0.578,1.42933648805427e-127,"0","MYL12A"
"ACAP1",7.24691116870768e-132,0.873850166665572,0.476,0.158,1.60591551498562e-127,"0","ACAP1"
"STK17B",1.57459216260351e-129,0.837686420982246,0.745,0.406,3.48929623232937e-125,"0","STK17B"
"RPL21P75",2.68921681282196e-129,0.87294180447347,0.638,0.315,5.95930445721347e-125,"0","RPL21P75"
"FOXP1",3.1854347519902e-129,0.946820760233315,0.55,0.228,7.05892341041029e-125,"0","FOXP1"
"PIK3IP1",7.83380575901096e-127,0.794143278401801,0.269,0.045,1.73597135619683e-122,"0","PIK3IP1"
"CALM1",2.71752063754827e-126,0.747271632035211,0.756,0.405,6.02202573280697e-122,"0","CALM1"
"AC113935.1",2.9665092518718e-125,0.851051083688106,0.647,0.317,6.57378450214792e-121,"0","AC113935.1"
"EIF4A2",7.9450428944537e-125,0.817990183739963,0.722,0.411,1.76062150541094e-120,"0","EIF4A2"
"RPL13AP7",2.39110378410642e-123,0.874586429149373,0.664,0.338,5.29868598557982e-119,"0","RPL13AP7"
"AC019205.3",1.61479861512383e-122,0.81780151778163,0.699,0.363,3.57839373111441e-118,"0","AC019205.3"
"NAP1L1",2.15993484703579e-121,0.737441437998063,0.8,0.455,4.7864156210313e-117,"0","NAP1L1"
"AC016831.5",8.33170074516702e-121,0.89188962988631,0.325,0.075,1.84630488512901e-116,"0","AC016831.5"
"HLA-B",2.10899638315391e-120,0.568318881997121,0.975,0.678,4.67353598506906e-116,"0","HLA-B"
"EEF1B2P3",3.3282784500973e-119,0.899004098284373,0.644,0.315,7.37546504541562e-115,"0","EEF1B2P3"
"BTF3",8.12868015770184e-119,0.622036423122897,0.953,0.781,1.80131552294673e-114,"0","BTF3"
"PFDN5",2.23968658642447e-117,0.55202956715103,0.973,0.824,4.96314547551663e-113,"0","PFDN5"
"AC104563.1",3.85767922425544e-116,0.947967277484819,0.474,0.189,8.54861716095005e-112,"0","AC104563.1"
"RPL4P4",1.80768680365693e-115,0.85645782271328,0.627,0.308,4.00583395690376e-111,"0","RPL4P4"
"RPS3AP6",1.04896494472947e-114,0.840308301442697,0.605,0.293,2.3245063175205e-110,"0","RPS3AP6"
"RARRES3",1.40891600627598e-113,0.731009672491877,0.471,0.167,3.12215786990756e-109,"0","RARRES3"
"HNRNPA1",1.95584954694051e-113,0.534478220639426,0.939,0.617,4.33416259602016e-109,"0","HNRNPA1"
"HSPA8",5.21563364345323e-113,0.701408107243793,0.79,0.467,1.15578441538924e-108,"0","HSPA8"
"LINC00513",1.34747652705385e-111,0.809179007684402,0.26,0.049,2.98600798395134e-107,"0","LINC00513"
"JAK3",2.09382742033053e-111,0.782903470530742,0.325,0.082,4.63992156345246e-107,"0","JAK3"
"ITM2B",3.8712484304158e-111,0.619624940319263,0.824,0.558,8.57868652180141e-107,"0","ITM2B"
"IFITM3",4.35967967208203e-111,0.640609451032154,0.477,0.168,9.66105015333378e-107,"0","IFITM3"
"EVL",1.0123598970869e-109,0.763456489359222,0.34,0.089,2.24338953194457e-105,"0","EVL"
"RPL9P7",4.61463074259353e-108,0.862678132527049,0.524,0.236,1.02260217255873e-103,"0","RPL9P7"
"ZNF331",7.15460533346608e-108,0.797911328376268,0.368,0.11,1.58546054189608e-103,"0","ZNF331"
"AL136454.1",3.25023245975576e-107,0.840366038286682,0.514,0.23,7.20251513081877e-103,"0","AL136454.1"
"BIN1",1.29491840327034e-106,0.714975065924292,0.306,0.074,2.86953918164707e-102,"0","BIN1"
"SNRPD2",4.79706704646007e-103,0.702261361106088,0.753,0.458,1.06303005749555e-98,"0","SNRPD2"
"RPS23P8",7.99037317385847e-103,0.752552079426462,0.631,0.317,1.77066669532704e-98,"0","RPS23P8"
"TSPYL1",2.35003459931173e-101,0.877376299462738,0.456,0.19,5.20767667207478e-97,"0","TSPYL1"
"RPS11",2.37668064331415e-101,0.548991244463559,0.991,0.88,5.26672430558416e-97,"0","RPS11"
"SNHG5",5.47051349930787e-101,0.615835040283208,0.886,0.581,1.21226579144662e-96,"0","SNHG5"
"SSR2",1.29966101303373e-100,0.756714645702109,0.654,0.368,2.88004880488274e-96,"0","SSR2"
"ARHGAP15",1.4977024017804e-100,0.817831663299192,0.354,0.112,3.31890852234537e-96,"0","ARHGAP15"
"CLEC2D",1.74967169490884e-100,0.72159491781504,0.333,0.094,3.87727247591798e-96,"0","CLEC2D"
"NOL4L",1.58049795682115e-99,0.750461981537204,0.45,0.173,3.50238347231566e-95,"0","NOL4L"
"ANKRD12",4.40579016368367e-99,0.80182715598532,0.479,0.207,9.76323100272302e-95,"0","ANKRD12"
"EIF4B",1.59794335166834e-98,0.824197921970165,0.491,0.218,3.54104246729705e-94,"0","EIF4B"
"DDX5",1.82683282320479e-98,0.537722086520477,0.938,0.687,4.04826153622181e-94,"0","DDX5"
"RPL24P4",5.42543290774569e-98,0.811146616530436,0.581,0.303,1.20227593235645e-93,"0","RPL24P4"
"AP000936.3",6.61181546134907e-98,0.835093392206004,0.44,0.178,1.46517830623495e-93,"0","AP000936.3"
"CIRBP",9.97501913990777e-97,0.591735381169975,0.799,0.523,2.21046424140356e-92,"0","CIRBP"
"AC099560.2",2.53698667696803e-96,0.839949531640311,0.373,0.131,5.62196247616115e-92,"0","AC099560.2"
"EIF3F",1.18901691780237e-95,0.677867099128166,0.688,0.382,2.63486148985006e-91,"0","EIF3F"
"SBDS",1.41148793749047e-95,0.856099559304583,0.46,0.204,3.12785726947888e-91,"0","SBDS"
"RPL7P1",1.71716415685421e-95,0.73767414324659,0.599,0.304,3.80523577158893e-91,"0","RPL7P1"
"ATXN7",2.53960927780629e-95,0.785683927554775,0.39,0.142,5.62777415961875e-91,"0","ATXN7"
"GPSM3",3.22906679903516e-95,0.659329696575264,0.606,0.298,7.15561202666191e-91,"0","GPSM3"
"EIF3H",7.32123130275488e-94,0.677598377450984,0.696,0.414,1.62238485669048e-89,"0","EIF3H"
"SRSF5",3.20066928614358e-93,0.546219188984836,0.853,0.575,7.09268313809417e-89,"0","SRSF5"
"ZFAS1",1.01022187223999e-92,0.664536261411707,0.688,0.388,2.23865166888382e-88,"0","ZFAS1"
"PTPRC",2.48106105952057e-92,0.604241907710803,0.597,0.281,5.49803130789759e-88,"0","PTPRC"
"GSTK1",5.15788005844696e-92,0.838050062749708,0.532,0.28,1.14298622095185e-87,"0","GSTK1"
"RPL12P4",1.06060081524718e-90,0.705735114782649,0.545,0.269,2.35029140658775e-86,"0","RPL12P4"
"TMEM2",2.11366177739494e-90,0.689292852024753,0.278,0.071,4.68387449870718e-86,"0","TMEM2"
"AC064799.1",6.34333873751649e-90,0.790450843646115,0.467,0.212,1.40568386423365e-85,"0","AC064799.1"
"CORO1A",6.9939895872356e-89,0.5934619704633,0.711,0.36,1.54986809253141e-84,"0","CORO1A"
"SOCS3",7.9983003296539e-89,0.769844594169693,0.325,0.103,1.7724233530513e-84,"0","SOCS3"
"AC092017.2",4.39891700530376e-87,0.779103506705816,0.398,0.163,9.74800008375314e-83,"0","AC092017.2"
"COX4I1",3.98958993708238e-86,0.525685462206007,0.899,0.661,8.84093130057456e-82,"0","COX4I1"
"RNF125",1.16022843617271e-85,0.631361245304981,0.266,0.068,2.57106621455873e-81,"0","RNF125"
"TTC39C",2.37618191638871e-85,0.742681300999628,0.266,0.072,5.26561912671739e-81,"0","TTC39C"
"LINC00861",1.50289454163247e-82,0.601729863468753,0.253,0.063,3.33041430425756e-78,"0","LINC00861"
"AC246787.1",4.93770883028221e-82,0.747573337654427,0.491,0.242,1.09419627679054e-77,"0","AC246787.1"
"TSPYL2",1.34836587182513e-81,0.661792109090513,0.324,0.104,2.98797877196449e-77,"0","TSPYL2"
"AC116366.1",1.52960431655616e-81,0.752996312201726,0.319,0.103,3.38960316548845e-77,"0","AC116366.1"
"MGAT4A",3.47266307121179e-81,0.695253328589516,0.298,0.094,7.69542136580532e-77,"0","MGAT4A"
"AC078814.1",4.78816452123183e-81,0.742645419292538,0.44,0.203,1.06105725790497e-76,"0","AC078814.1"
"AC107032.1",5.7647303190642e-81,0.736555029756095,0.492,0.249,1.27746423870463e-76,"0","AC107032.1"
"STK4",2.9792410168412e-80,0.638281155761889,0.448,0.194,6.60199809332009e-76,"0","STK4"
