"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"AKR1C31",1.67023666062002e-40,1.07802112627821,0.254,0.062,3.70124443993397e-36,"4","AKR1C3"
"ZFP361",2.8254206756083e-40,1.34992011676032,0.729,0.481,6.26113221714799e-36,"4","ZFP36"
"EIF12",5.57446424152548e-40,0.686545870000089,0.983,0.964,1.23530127592205e-35,"4","EIF1"
"CYBA1",1.78919326517071e-39,1.00399825660082,0.713,0.424,3.96485227561829e-35,"4","CYBA"
"ARHGDIB2",4.12911155508752e-39,0.935842620185682,0.805,0.556,9.15011120607394e-35,"4","ARHGDIB"
"BHLHE40",1.03514035095742e-38,1.1271865716435,0.264,0.068,2.29387101772165e-34,"4","BHLHE40"
"FGR1",1.21680433577447e-38,0.997479337264883,0.294,0.08,2.69643840807622e-34,"4","FGR"
"SERF21",1.34298202350395e-38,0.718335016694105,0.937,0.885,2.97604816408475e-34,"4","SERF2"
"PSMB9",1.43486804987567e-38,1.21410948717458,0.568,0.302,3.17966759852449e-34,"4","PSMB9"
"ANXA61",2.41082443249953e-38,1.24374296736071,0.399,0.154,5.34238694241897e-34,"4","ANXA6"
"RASSF1",4.26486177732285e-38,1.25504622704585,0.35,0.12,9.45093369854743e-34,"4","RASSF1"
"LINC008611",2.06785586793711e-37,1.23366288278942,0.317,0.099,4.58236860334863e-33,"4","LINC00861"
"MSN1",2.22413074751378e-37,1.17604536343188,0.442,0.187,4.92867373649054e-33,"4","MSN"
"TMSB102",2.41644297702503e-37,0.713728475748073,0.98,0.912,5.35483763708747e-33,"4","TMSB10"
"PAXX",1.17333620754062e-36,1.32883299497139,0.432,0.187,2.60011303591001e-32,"4","PAXX"
"AKNA",1.70453439149124e-36,1.02049749179129,0.267,0.073,3.77724821154459e-32,"4","AKNA"
"MT-CO11",7.00940321341457e-36,0.509766815224848,0.997,0.958,1.55328375209267e-31,"4","MT-CO1"
"JUN1",1.95446823529416e-35,1.26930191408298,0.822,0.68,4.33110160941186e-31,"4","JUN"
"SRSF51",2.2198572692133e-35,0.934295118814814,0.832,0.634,4.91920370857668e-31,"4","SRSF5"
"DBI1",4.06961123330039e-35,1.22649925986306,0.554,0.3,9.01825849299366e-31,"4","DBI"
"PPP1R18",4.697792878546e-35,1.12543904476241,0.366,0.135,1.04103090188579e-30,"4","PPP1R18"
"LSP11",1.33004041902452e-34,1.11479226553619,0.512,0.249,2.94736956855833e-30,"4","LSP1"
"RSRP11",1.6245084597417e-33,1.37472965963406,0.485,0.25,3.5999107467876e-29,"4","RSRP1"
"OSTF11",3.68282900405858e-33,1.1835885614763,0.439,0.202,8.16114907299381e-29,"4","OSTF1"
"NDUFB21",1.15209750838718e-32,1.17596537665652,0.578,0.35,2.55304807858598e-28,"4","NDUFB2"
"CCND3",1.53913838744144e-32,1.20178816085571,0.528,0.291,3.41073066657023e-28,"4","CCND3"
"AC109326.11",6.87695909695091e-32,1.00475196110372,0.564,0.286,1.52393413588432e-27,"4","AC109326.1"
"PTPRC2",9.1280756547746e-32,1.04937639579423,0.601,0.346,2.02278156509805e-27,"4","PTPRC"
"PCED1B-AS11",1.44389473552829e-31,1.04187899461704,0.581,0.33,3.19967073393068e-27,"4","PCED1B-AS1"
"CTSC",3.05408265647908e-30,1.05095444251575,0.337,0.128,6.76784716675765e-26,"4","CTSC"
"CLEC2B1",4.59421428371663e-30,1.08622475567391,0.432,0.203,1.01807788527161e-25,"4","CLEC2B"
"SPN",4.69710074604305e-30,1.20279677842972,0.35,0.144,1.04087752532314e-25,"4","SPN"
"CIRBP1",8.67988910324238e-30,0.936402774057357,0.749,0.583,1.92346342527851e-25,"4","CIRBP"
"ADGRE51",2.62643081625799e-29,1.09505157135347,0.452,0.213,5.8201706888277e-25,"4","ADGRE5"
"CNOT2",3.10530869813475e-29,1.34456028588995,0.455,0.234,6.88136407506662e-25,"4","CNOT2"
